薬品名：,
期間：,2025/ 5/ 1～2025/12/ 8
回転数：,0以下
薬価：,
使用期限：,
経過措置：,なし
管理区分：,すべて
余剰在庫金額：,502132円
No.,管理区分,薬品名,剤区分,薬価,全在庫数,回転数,経過措置日,使用期限,ロット番号,在庫数量,原価,金額,登録,登録数,備考
52,調剤,キサラタン点眼液０．００５％,,305.50,25,0.00,,2026/ 2,HN3486,25,313.88,7847,0,,
53,調剤,クラシエ五苓散料エキス錠,,6.10,396,0.00,,2027/ 4,05EE,252,5.45,1373,0,,
54,調剤,クラシエ五苓散料エキス錠,,6.10,396,0.00,,2027/ 3,01DE,144,5.45,785,0,,
55,調剤,クラシエ人参養栄湯エキス細粒,,22.30,82.5,0.00,,, ,82.5,18.56,1531,0,,
56,調剤,クラバモックス小児用配合ドライシロップ　６３６．５ｍｇ,,107.40,12.12,0.00,,2026/ 3,P66S,12.12,107.43,1302,0,,
57,調剤,クロベタゾン酪酸エステル軟膏０．０５％「テイコク」,,12.00,100,0.00,,2028/ 8,95121,100,12,1200,0,,
58,調剤,グラナテック点眼液０．４％,,449.40,15,0.00,,2027/ 2,XC4A,15,364.68,5470,0,,
59,調剤,グラマリール錠２５ｍｇ,,12.50,70,0.00,,, ,70,13.50,945,0,,
60,調剤,グリセリン浣腸「オヲタ」６０　５０％６０ｍＬ,,124.20,15,0.00,,2028/ 5,4KL,10,98,980,0,,
61,調剤,グリセリン浣腸「オヲタ」６０　５０％６０ｍＬ,,124.20,15,0.00,,2027/11,4ED,5,98,490,0,,
62,調剤,ケトチフェン点眼液０．０５％「ＳＷ」　３．４５ｍｇ５ｍＬ,,158.80,3,0.00,,, ,3,139.30,418,0,,
63,調剤,ゲーベンクリーム１％,,12.80,225,0.00,,2028/ 2,J076,200,11.40,2280,0,,
64,調剤,ゲーベンクリーム１％,,12.80,225,0.00,,2027/ 9,H151,25,11.40,285,0,,
65,調剤,コルヒチン錠０．５ｍｇ「タカタ」,劇薬,9.60,100,0.00,,, ,100,5.24,524,0,,
66,調剤,シングレアチュアブル錠５ｍｇ,,71.70,18,0.00,,, ,18,105,1890,0,,
67,調剤,ジアゼパム錠２ｍｇ「アメル」,向3,5.90,93,0.00,,, ,93,3.61,336,0,,
68,調剤,ジエノゲスト錠０．５ｍｇ「モチダ」,,41.00,48,0.00,,, ,48,36.98,1775,0,,
69,調剤,ジクロフェナクナトリウム坐剤２５ｍｇ「ＪＧ」,劇薬,20.90,35,0.00,,2026/ 6,23702,35,14.68,514,0,,
70,調剤,ジゴキシンＫＹ錠０．２５　０．２５ｍｇ,劇薬,10.10,186,0.00,,, ,186,7.58,1410,0,,
71,調剤,スチックゼノールＡ,,3.62,400,0.00,,2027/ 7,408282,400,3.45,1380,0,,
72,調剤,スマトリプタン錠５０ｍｇ「ＳＰＫＫ」,劇薬,124.80,23,0.00,,2026/11,E26U,12,111.08,1333,0,,
73,調剤,スマトリプタン錠５０ｍｇ「ＳＰＫＫ」,劇薬,124.80,23,0.00,,2026/ 8,8H9L,11,111.08,1222,0,,
74,調剤,セクターローション３％,,4.40,100,0.00,,, ,100,4.07,407,0,,
75,調剤,セファランチン錠１ｍｇ,,6.20,260,0.00,,, ,260,5.39,1401,0,,
76,調剤,セフジニル錠１００ｍｇ「サワイ」,,44.90,17,0.00,,, ,17,40.80,694,0,,
77,調剤,セフゾンカプセル１００ｍｇ,,59.70,100,0.00,,2027/ 4,2512C01,100,59.70,5970,0,,
78,調剤,セフポドキシムプロキセチル錠１００ｍｇ「ＳＷ」,,35.30,100,0.00,,, ,100,29,2900,0,,
79,調剤,セルタッチパップ１４０　２０ｃｍ×１４ｃｍ,,18.40,91,0.00,,2027/ 4,54011,91,15.69,1428,0,,
80,調剤,セルニルトン錠,,19.00,100,0.00,,2030/ 1,5B031B,100,19,1900,0,,
81,調剤,セレニカＲ顆粒４０％,,36.70,75,0.00,,2026/12,SS4W,75,32.69,2452,0,,
82,調剤,ゼペリン点眼液０．１％　５ｍｇ５ｍＬ,,479.20,4,0.00,,2027/ 8,4272,4,401,1604,0,,
83,調剤,ゼポラスパップ４０ｍｇ　１０ｃｍ×１４ｃｍ,,16.70,133,0.00,,2027/ 5,406211,133,12.26,1631,0,,
84,調剤,ソタロール塩酸塩錠４０ｍｇ「ＴＥ」,,33.00,66,0.00,,2026/ 8,CG007,66,29.02,1915,0,,
85,調剤,ゾビラックス錠２００　２００ｍｇ,,15.60,58,0.00,,, ,58,24.81,1439,0,,
86,調剤,ゾルピデム酒石酸塩ＯＤ錠５ｍｇ「トーワ」,向3,10.40,100,0.00,,2026/ 3,A0084,100,8.60,860,0,,
87,調剤,タプコム配合点眼液,劇薬,630.50,15,0.00,,2027/ 6,TC0119,12.5,540.96,6762,0,,
88,調剤,タプコム配合点眼液,劇薬,630.50,15,0.00,,2026/ 9,TC0111,2.5,540.96,1352,0,,
89,調剤,ダイアコート軟膏０．０５％,,10.90,25,0.00,,2027/ 4,54071,25,9.98,250,0,,
90,調剤,ダイアップ坐剤１０　１０ｍｇ,向3,66.10,50,0.00,,, ,50,54.32,2716,0,,
91,調剤,ダパグリフロジン錠５ｍｇ「ＴＳＰ」,,50.10,100,0.00,,2028/ 2,255B52S,100,50.10,5010,0,,
92,調剤,ツートラム錠５０ｍｇ,劇薬,47.40,44,0.00,,2027/11,23035,44,41.75,1837,0,,
93,調剤,ツムラ黄連解毒湯エキス顆粒（医療用）,,14.10,105,0.00,,2027/ 7,X11782,105,11.87,1246,0,,
94,調剤,ツムラ加味帰脾湯エキス顆粒（医療用）,,26.00,315,0.00,,2027/12,X50172,210,21.74,4565,0,,
95,調剤,ツムラ加味帰脾湯エキス顆粒（医療用）,,26.00,315,0.00,,2027/11,X38062,105,21.74,2283,0,,
96,調剤,ツムラ甘麦大棗湯エキス顆粒（医療用）,,12.20,245,0.00,,2027/ 7,X14171,245,11.09,2717,0,,
97,調剤,ツムラ桂枝加竜骨牡蛎湯エキス顆粒（医療用）,,13.80,225,0.00,,2027/ 3,W46431,225,12.54,2822,0,,
98,調剤,ツムラ柴胡加竜骨牡蛎湯エキス顆粒（医療用）,,20.30,210,0.00,,2026/ 7, ,210,18.05,3791,0,,
99,調剤,ツムラ柴朴湯エキス顆粒（医療用）,,34.00,262.5,0.00,,, ,157.5,28.60,4505,0,,
100,調剤,ツムラ柴朴湯エキス顆粒（医療用）,,34.00,262.5,0.00,,2027/ 5,X06352,105,28.60,3003,0,,
101,調剤,ツムラ柴苓湯エキス顆粒（医療用）,,45.00,72,0.00,,2027/ 9,X32142,72,37.64,2710,0,,
102,調剤,ツムラ小青竜湯エキス顆粒（医療用）,,12.80,918,0.00,,2028/ 2,X55182,567,10.71,6073,0,,
103,調剤,ツムラ小青竜湯エキス顆粒（医療用）,,12.80,918,0.00,,2027/12,X51332,351,10.71,3759,0,,
104,調剤,ツムラ辛夷清肺湯エキス顆粒（医療用）,,15.50,105,0.00,,2027/12,X43811,105,12.97,1362,0,,
105,調剤,ツムラ清心蓮子飲エキス顆粒（医療用）,,29.00,257.5,0.00,,2027/10,X23561,232.5,26.36,6129,0,,
106,調剤,ツムラ清心蓮子飲エキス顆粒（医療用）,,29.00,257.5,0.00,,2026/ 8, w19021,25,26.36,659,0,,
107,調剤,ツムラ大柴胡湯エキス顆粒（医療用）,,21.90,20,0.00,,2027/ 1,W36092,20,18.72,374,0,,
108,調剤,ツムラ排膿散及湯エキス顆粒（医療用）,,13.40,240,0.00,,2027/ 4,X03261,210,12.18,2558,0,,
109,調剤,ツムラ排膿散及湯エキス顆粒（医療用）,,13.40,240,0.00,,2027/ 4,X03111,30,12.18,365,0,,
110,調剤,ツムラ麻黄湯エキス顆粒（医療用）,,11.40,52.5,0.00,,, ,52.5,6.56,344,0,,
111,調剤,ツムラ炙甘草湯エキス顆粒（医療用）,,29.40,594,0.00,,, ,594,17.46,10371,0,,
112,調剤,テラ・コートリル軟膏,,27.20,15,0.00,,, ,15,23.36,350,0,,
113,調剤,テラマイシン軟膏（ポリミキシンＢ含有）,,10.50,60,0.00,,, ,60,9.72,583,0,,
114,調剤,ディオバン錠２０ｍｇ,,12.80,8,0.00,,, ,8,17.81,142,0,,
115,調剤,デカドロン錠４ｍｇ,,25.30,2,0.00,,2026/ 4,DK0101,2,21.16,42,0,,
116,調剤,デキサメタゾン軟膏０．１％「イワキ」,,7.30,30,0.00,,, ,30,7.40,222,0,,
117,調剤,デキストロメトルファン臭化水素酸塩錠１５ｍｇ「ＮＰ」,,8.60,364,0.00,,2027/ 2,24G321,364,7.65,2785,0,,
118,調剤,デタントール０．０１％点眼液,,172.60,35,0.00,,2027/ 7,DT0212,35,172.60,6041,0,,
119,調剤,デルモゾールＧ軟膏,,27.70,170,0.00,,2026/11,3EY43,50,24.04,1202,0,,
120,調剤,デルモゾールＧ軟膏,,27.70,170,0.00,,2026/ 5,36Y17,50,24.04,1202,0,,
121,調剤,デルモゾールＧ軟膏,,27.70,170,0.00,,2025/12,31Y14,35,24.04,841,0,,
122,調剤,デルモゾールＧ軟膏,,27.70,170,0.00,,2026/ 3,34Y50,35,24.04,841,0,,
123,調剤,トスフロキサシントシル酸塩細粒小児用１５％「タカタ」　１５０ｍｇ,,111.40,50,0.00,,2027/12,B001,50,111.40,5570,0,,
124,調剤,トスフロキサシントシル酸塩小児用細粒１５％「明治」　１５０ｍｇ,,111.40,50,0.00,,2027/11,01017,50,111.40,5570,0,,
125,調剤,トラニラスト点眼液０．５％「サワイ」　２５ｍｇ５ｍＬ,,203.00,5,0.00,,2026/10,X23X01,5,162,810,0,,
126,調剤,トラマドール塩酸塩ＯＤ錠２５ｍｇ「ＫＯ」,劇薬,9.40,236,0.00,,2027/ 5,F10B,200,9.17,1834,0,,
127,調剤,トラマドール塩酸塩ＯＤ錠２５ｍｇ「ＫＯ」,劇薬,9.40,236,0.00,,2027/ 3,D02B,36,9.17,330,0,,
128,調剤,トリアゾラム錠０．１２５ｍｇ「日医工」,向3,5.90,161,0.00,,2027/ 2,J00300,100,5,500,0,,
129,調剤,トリアゾラム錠０．１２５ｍｇ「日医工」,向3,5.90,161,0.00,,2027/ 2,J00200,61,5,305,0,,
130,調剤,ドキサゾシン錠２ｍｇ「ＥＭＥＣ」,,10.40,200,0.00,,2026/ 6,23XC28S,200,8.80,1760,0,,
131,調剤,ドネペジル塩酸塩ＯＤ錠３ｍｇ「トーワ」,劇薬,29.10,14,0.00,,, ,14,29.07,407,0,,
132,調剤,ナウゼリン坐剤１０　１０ｍｇ,,33.40,23,0.00,,2026/ 1,754ACA,20,27.90,558,0,,
133,調剤,ナウゼリン坐剤１０　１０ｍｇ,,33.40,23,0.00,,2025/11,750ABK,3,27.90,84,0,,
134,調剤,ナノパスニードルⅡ３４Ｇ×４ｍｍ　ＴＮ－３４０４,,18.00,462,0.00,,2029/12,250116H,140,20.54,2876,0,,
135,調剤,ナノパスニードルⅡ３４Ｇ×４ｍｍ　ＴＮ－３４０４,,18.00,462,0.00,,2030/ 5,250624H,140,20.54,2876,0,,
136,調剤,ナノパスニードルⅡ３４Ｇ×４ｍｍ　ＴＮ－３４０４,,18.00,462,0.00,,2029/ 6,240706J,112,20.54,2300,0,,
137,調剤,ナノパスニードルⅡ３４Ｇ×４ｍｍ　ＴＮ－３４０４,,18.00,462,0.00,,2030/ 1,250218K,70,20.54,1438,0,,
138,調剤,ニトラゼパム錠１０ｍｇ「ＪＧ」,向3,5.90,102,0.00,,2026/10,IKDC,100,5.03,503,0,,
139,調剤,ニトラゼパム錠１０ｍｇ「ＪＧ」,向3,5.90,102,0.00,,2026/ 8,IIDZ,2,5.03,10,0,,
140,調剤,ニフェジピンＬ錠１０ｍｇ「杏林」,劇薬,5.90,164,0.00,,2025/11,C009,164,4.29,704,0,,
141,調剤,ニフラン点眼液０．１％,,28.20,55,0.00,,, ,55,25.18,1385,0,,
142,調剤,ニポラジン小児用細粒０．６％,,33.20,88.8,0.00,,2027/ 6,200020,88.8,27.88,2476,0,,
143,調剤,ネリザ軟膏,劇薬,24.20,46,0.00,2026/ 3/31,, ,46,20.70,952,0,,
144,調剤,ノバミン錠５ｍｇ,,10.10,236,0.00,,, ,236,7.59,1791,0,,
145,調剤,ノベルジン錠２５ｍｇ,劇薬,201.10,2,0.00,,, ,2,209.43,419,0,,
146,調剤,ノルバスク錠２．５ｍｇ,劇薬,13.50,70,0.00,,, ,70,12.75,893,0,,
147,調剤,ハリゾンシロップ１００ｍｇ／ｍＬ,劇薬,48.80,24,0.00,,2026/ 7,AG24A,24,48.79,1171,0,,
148,調剤,バクタミニ配合錠,,33.70,552,0.00,,, ,552,30,16560,0,,
149,調剤,バクタ配合顆粒,,78.80,49,0.00,,2026/ 7,7262,49,69.49,3405,0,,
150,調剤,バファリン配合錠Ａ８１　８１ｍｇ,,5.90,199,0.00,2026/ 3/31,2027/ 3,31591,199,4.46,888,0,,
151,調剤,バルプロ酸Ｎａシロップ５％「フジナガ」,,7.00,176,0.00,,2029/ 3,Q01A,100,5.35,535,0,,
152,調剤,バルプロ酸Ｎａシロップ５％「フジナガ」,,7.00,176,0.00,,2029/ 2,Q01M,76,5.35,407,0,,
153,調剤,ヒアレイン点眼液０．１％　５ｍＬ,,223.60,1,0.00,,2027/ 3,1HT7397,1,206,206,0,,
154,調剤,ヒルドイドクリーム０．３％,,18.20,675,0.00,,2026/11,EA10Y,250,16.23,4058,0,,
155,調剤,ヒルドイドクリーム０．３％,,18.20,675,0.00,,2026/12,EA17K,250,16.23,4058,0,,
156,調剤,ヒルドイドクリーム０．３％,,18.20,675,0.00,,2026/10,EA0XE,175,16.23,2840,0,,
157,調剤,ヒルナミン錠（２５ｍｇ）,,5.90,100,0.00,,2029/ 7,2405,100,5.90,590,0,,
158,調剤,ヒルナミン錠（５ｍｇ）,,5.90,14,0.00,,, ,14,5.70,80,0,,
159,調剤,ビマトプロスト点眼液０．０３％「ニットー」,,148.30,17.5,0.00,,2028/ 1,250011,17.5,148.32,2596,0,,
160,調剤,ピドキサール錠１０ｍｇ,,5.90,467,0.00,,2026/ 4,23E020A,467,4.23,1975,0,,
161,調剤,ピモベンダン錠１．２５ｍｇ「ＴＥ」,,31.90,100,0.00,,2028/ 1,EJ311,100,31.90,3190,0,,
162,調剤,ピリドキサール錠３０ｍｇ「ツルハラ」,,5.90,244,0.00,,2027/ 2,C42A,200,4.84,968,0,,
163,調剤,ピリドキサール錠３０ｍｇ「ツルハラ」,,5.90,244,0.00,,2026/ 7,C31A,44,4.84,213,0,,
164,調剤,フェノール・亜鉛華リニメント「ニッコー」,,2.03,500,0.00,,2028/ 8,745819,500,2.03,1015,0,,
165,調剤,フェンタニルクエン酸塩１日用テープ４ｍｇ「第一三共」,麻薬,864.00,14,0.00,,, ,14,742.14,10390,0,,
166,調剤,フェンラーゼ配合カプセル,,6.10,990,0.00,,, ,990,5.08,5029,0,,
167,調剤,フラジール内服錠２５０ｍｇ,,36.20,86,0.00,,2027/ 4,6342,86,32.21,2770,0,,
168,調剤,フルオロメトロン点眼液０．１％「ＮＩＴ」,,18.50,75,0.00,,2028/ 1,P050,50,18.50,925,0,,
169,調剤,フルオロメトロン点眼液０．１％「ＮＩＴ」,,18.50,75,0.00,,2027/11,N520,25,18.50,463,0,,
170,調剤,フルチカゾンフランカルボン酸エステル２７．５武田テバ５６　３ｍｇ,,559.40,2,0.00,,2027/ 3,N87N,2,503,1006,0,,
171,調剤,フルルビプロフェンテープ２０ｍｇ「ＱＱ」　７ｃｍ×１０ｃｍ,,8.40,98,0.00,,2026/11,3Y11F,98,6.74,661,0,,
172,調剤,フレカイニド酢酸塩錠５０ｍｇ「ＴＥ」,劇薬,14.40,100,0.00,2026/ 3/31,2028/ 2,EF020,100,12.90,1290,0,,
173,調剤,フロジン外用液５％,,17.60,300,0.00,,, ,300,18.10,5430,0,,
174,調剤,フロモックス錠１００ｍｇ,,41.10,100,0.00,,2028/ 4,3641,100,41.10,4110,0,,
175,調剤,フロリードゲル経口用２％,,98.20,20,0.00,,2027/ 9,727,20,87.48,1750,0,,
176,調剤,ブロマゼパム細粒１％「サンド」,向3,15.50,100,0.00,,2028/11,30031A,100,11.59,1159,0,,
177,調剤,プレドニゾロン錠「タケダ」５ｍｇ,,10.10,86,0.00,,2029/ 6,KG011,86,7.26,624,0,,
178,調剤,プレドニン眼軟膏　０．２５％,,83.90,10,0.00,,, ,10,32.18,322,0,,
179,調剤,プロスタンディン軟膏０．００３％,劇薬,34.30,30,0.00,,2027/ 3,2483TB,20,28.50,570,0,,
180,調剤,プロスタンディン軟膏０．００３％,劇薬,34.30,30,0.00,,2026/11,2391TH,10,28.50,285,0,,
181,調剤,ベタニス錠２５ｍｇ,劇薬,83.80,82,0.00,,2026/ 1,23005R1,63,76.11,4795,0,,
182,調剤,ベタニス錠２５ｍｇ,劇薬,83.80,82,0.00,,2026/10,23039R1,19,76.11,1446,0,,
183,調剤,ベタメタゾン酪酸エステルプロピオン酸ローション０．０５％ＭＹＫ,劇薬,18.90,100,0.00,,2028/ 4,RA515,100,18.90,1890,0,,
184,調剤,ベラプロストＮａ錠２０μｇ「ＮＩＧ」,劇薬,12.80,302,0.00,,2026/12,GS0239,270,11.16,3013,0,,
185,調剤,ベラプロストＮａ錠２０μｇ「ＮＩＧ」,劇薬,12.80,302,0.00,,2026/11,GJ0579,32,11.16,357,0,,
186,調剤,ボノサップパック４００,,464.60,7,0.00,,2026/ 3,549972,7,416.29,2914,0,,
187,調剤,ボラザＧ坐剤,,35.60,43,0.00,,, ,43,32.36,1391,0,,
188,調剤,ボラザＧ軟膏,,28.20,410.4,0.00,,, ,326.4,24.96,8147,0,,
189,調剤,ボラザＧ軟膏,,28.20,410.4,0.00,,2026/ 9,882,84,24.96,2097,0,,
190,調剤,ボルズィ錠５ｍｇ,,71.30,100,0.00,,2027/11,014A1,100,71.30,7130,0,,
191,調剤,ポビドンヨードガーグル液７％「ケンエー」,,3.20,300,0.00,,2027/ 7,4K13,300,2.82,846,0,,
192,調剤,マイクロファインプロ３２Ｇ×４ｍｍ　３２０５５９,,17.00,364,0.00,,, ,14,0,0,0,,
193,調剤,マイクロファインプロ３２Ｇ×４ｍｍ　３２０５５９,,17.00,364,0.00,,2029/12,4352019,70,0,0,0,,
194,調剤,マイクロファインプロ３２Ｇ×４ｍｍ　３２０５５９,,17.00,364,0.00,,2030/ 1,5014078,140,0,0,0,,
195,調剤,マイクロファインプロ３２Ｇ×４ｍｍ　３２０５５９,,17.00,364,0.00,,2030/ 3,5070104,140,0,0,0,,
196,調剤,マイスリー錠５ｍｇ,向3,17.50,100,0.00,,2026/11,23021F1,100,17.84,1784,0,,
197,調剤,マクサルト錠１０ｍｇ,劇薬,335.90,2,0.00,,2026/10,3040032,2,335.83,672,0,,
198,調剤,ミネブロ錠５ｍｇ,,137.40,34,0.00,,2026/ 9,YGA0025,34,120.60,4100,0,,
199,調剤,メキシチールカプセル１００ｍｇ,劇薬,13.20,55,0.00,,2027/ 4,24D040Y,55,11.20,616,0,,
200,調剤,メキタジン錠３ｍｇ「サワイ」,,5.90,116,0.00,,2027/10,524801,100,4.49,449,0,,
201,調剤,メキタジン錠３ｍｇ「サワイ」,,5.90,116,0.00,,2025/11, ,16,4.49,72,0,,
202,調剤,メトホルミン塩酸塩錠２５０ｍｇ「ＳＮ」,劇薬,10.10,200,0.00,,2026/ 9,MX01,200,7.14,1428,0,,
203,調剤,メプチンエアー１０μｇ吸入１００回　０．０１４３％５ｍＬ,,1060.90,6,0.00,,2027/11,4K96NAC,6,1060.90,6365,0,,
204,調剤,メプチン吸入液ユニット０．３ｍＬ　０．０１％,,25.00,56,0.00,,, ,56,16.21,908,0,,
205,調剤,メプチン錠５０μｇ　０．０５ｍｇ,,9.20,158,0.00,,2026/10,3J75S1,100,8.31,831,0,,
206,調剤,メプチン錠５０μｇ　０．０５ｍｇ,,9.20,158,0.00,,2026/ 7,3G83S2,58,8.31,482,0,,
207,調剤,メロキシカム錠１０ｍｇ「ＮＰ」,劇薬,10.80,70,0.00,,, ,70,11.15,781,0,,
208,調剤,モーラスパップＸＲ２４０ｍｇ　２０ｃｍ×１４ｃｍ,,43.30,112,0.00,,2026/ 3,B407T,70,37.36,2615,0,,
209,調剤,モーラスパップＸＲ２４０ｍｇ　２０ｃｍ×１４ｃｍ,,43.30,112,0.00,,2026/ 3,B401T,42,37.36,1569,0,,
210,調剤,モキシフロキサシン点眼液０．５％「日点」,,26.30,30,0.00,,2027/10,L24AA5,25,20.52,513,0,,
211,調剤,モキシフロキサシン点眼液０．５％「日点」,,26.30,30,0.00,,2027/ 7,L247C4,5,20.52,103,0,,
212,調剤,モメタゾンフランカルボン酸エステルローション０．１％「イワキ」,劇薬,20.10,100,0.00,,, ,100,14.01,1401,0,,
213,調剤,モメタゾン点鼻液５０μｇ「杏林」１１２噴霧用　９ｍｇ１８ｇ,,808.60,4,0.00,,2026/ 2,R606K,4,753.60,3014,0,,
214,調剤,モメタゾン点鼻液５０μｇ「杏林」５６噴霧用　５ｍｇ１０ｇ,,418.00,5,0.00,,2027/ 9,A514D,5,418,2090,0,,
