薬品名：,
期間：,2025/ 5/ 1～2025/12/ 8
回転数：,0以下
薬価：,0円以上
使用期限：,
経過措置：,なし
管理区分：,すべて
余剰在庫金額：,320632円
No.,管理区分,薬品名,剤区分,薬価,全在庫数,回転数,経過措置日,使用期限,ロット番号,在庫数量,原価,金額,登録,登録数,備考
38,調剤,チアトンカプセル５ｍｇ,,6.10,100,0.00,,2029/ 7,37700YQ1,100,6.10,610,0,,
39,調剤,チクロピジン塩酸塩錠１００ｍｇ「ツルハラ」,,10.40,300,0.00,,2029/ 7,401,300,9.15,2745,0,,
40,調剤,ツムラ桂枝加芍薬湯エキス顆粒（医療用）,,7.50,52.5,0.00,,2027/10,X32982,52.5,6.28,330,0,52.5,
41,調剤,ツムラ桂枝茯苓丸エキス顆粒（医療用）,,14.10,945,0.00,,2027/ 7,X12272,555,12.81,7110,0,555,
42,調剤,ツムラ桂枝茯苓丸エキス顆粒（医療用）,,14.10,945,0.00,,2027/ 7,X14482,210,12.81,2690,0,210,
43,調剤,ツムラ桂枝茯苓丸エキス顆粒（医療用）,,14.10,945,0.00,,2027/ 7,X12192,180,12.81,2306,0,210,
44,調剤,ツムラ小柴胡湯エキス顆粒（医療用）,,29.40,80,0.00,,2027/10,X36072,80,29.40,2352,0,,
45,調剤,ツムラ小青竜湯エキス顆粒（医療用）,,12.80,945,0.00,,, ,567,12.80,7258,0,,
46,調剤,ツムラ小青竜湯エキス顆粒（医療用）,,12.80,945,0.00,,2028/ 2,X58042,378,12.80,4838,0,,
47,調剤,ツムラ大黄牡丹皮湯エキス顆粒（医療用）,,13.10,465,0.00,,2027/ 3,W47481,465,11.90,5534,0,465,
48,調剤,ツムラ白虎加人参湯エキス顆粒（医療用）,,17.70,52.5,0.00,,2027/ 5,X05311,52.5,14.88,781,0,63,
49,調剤,テモカプリル塩酸塩錠２ｍｇ「サワイ」,,17.10,74,0.00,,2027/ 1,X24103,74,12.88,953,0,74,
50,調剤,テラムロ配合錠ＢＰ「ＥＥ」,劇薬,31.30,100,0.00,,2027/11,24S081,100,25.66,2566,0,,
51,調剤,テリルジー２００エリプタ１４吸入用,,4568.80,1,0.00,,2026/ 6,Y43Y,1,4569,4569,0,,
52,調剤,テルチア配合錠ＢＰ「サワイ」,,31.10,156,0.00,,2028/ 2,124X02,100,31.10,3110,0,,
53,調剤,テルチア配合錠ＢＰ「サワイ」,,31.10,156,0.00,,, ,56,31.10,1742,0,,
54,調剤,テルチア配合錠ＢＰ「日医工」,,11.60,-56,0.00,,2026/ 2,I00400,-56,11.17,-626,0,,
55,調剤,テルミサルタン錠２０ｍｇ「日医工」,,10.40,99,0.00,,2026/ 6,I00500,99,8,792,0,100,
56,調剤,テレミンソフト坐薬１０ｍｇ,,20.90,50,0.00,,2028/ 1,J0035,50,17.76,888,0,,
57,調剤,デュピクセント皮下注３００ｍｇペン　２ｍＬ,劇薬,53659.00,-4,0.00,,, ,-4,0,0,0,,
58,調剤,トミロン錠５０　５０ｍｇ,,31.80,88,0.00,,2027/ 6,EF2491,88,27.28,2401,0,,
59,調剤,ドグマチール細粒１０％,劇薬,9.60,31.6,0.00,,, ,31.6,8.68,274,0,31.5,
60,調剤,ニトレンジピン錠５ｍｇ「サワイ」,,10.10,60,0.00,,2027/ 1,523801,60,7.42,445,0,113,
61,調剤,ニフェジピンＣＲ錠１０ｍｇ「日医工」,劇薬,8.50,19,0.00,,2025/11,LI2001,11,7.65,84,0,11,
62,調剤,ニフェジピンＣＲ錠１０ｍｇ「日医工」,劇薬,8.50,19,0.00,,2025/12,AK2401,8,7.65,61,0,100,
63,調剤,ニフェジピンカプセル５ｍｇ「サワイ」,劇薬,6.10,70,0.00,,, ,70,4.49,314,0,70,
64,調剤,バルサルタン錠４０ｍｇ「日医工」,,10.40,100,0.00,,2027/10,J00700,100,8.32,832,0,,
65,調剤,バルプロ酸ナトリウム錠１００ｍｇ「アメル」,,10.40,37,0.00,,, ,37,8.37,310,0,37,
66,調剤,ビオチン散０．２％「フソー」,,7.10,-30,0.00,,, ,-30,0,0,0,,
67,調剤,ビオチン散０．２％「ホエイ」,,6.70,61,0.00,,, ,61,6.50,397,0,95.5,
68,調剤,ビオフェルミンＲ錠,,6.10,79,0.00,,2027/11,034C1,79,4.24,335,0,94,
69,調剤,ピオグリタゾン錠１５ｍｇ「武田テバ」,,10.40,74,0.00,,2028/ 1,LB011,74,10.40,770,0,,
70,調剤,フェキソフェナジン塩酸塩錠３０ｍｇ「ケミファ」,,18.40,200,0.00,,2028/ 6,0125,200,16.10,3220,0,,
71,調剤,フルオロメトロン点眼液０．０２％「センジュ」,,18.50,45,0.00,,, ,45,13.68,616,0,,
72,調剤,ブロマゼパム錠２ｍｇ「サンド」,向3,5.90,14,0.00,,2028/ 6,P0263,14,5.13,72,0,139,
73,調剤,ブロムヘキシン塩酸塩錠４ｍｇ「サワイ」,,5.30,222,0.00,,2026/ 8,723804,100,4.05,405,0,100,
74,調剤,ブロムヘキシン塩酸塩錠４ｍｇ「サワイ」,,5.30,222,0.00,,2026/ 8,723805,100,4.05,405,0,100,
75,調剤,ブロムヘキシン塩酸塩錠４ｍｇ「サワイ」,,5.30,222,0.00,,2026/ 8,723803,22,4.05,89,0,22,
76,調剤,プラノプロフェン点眼液０．１％「わかもと」,,26.90,50,0.00,,2027/ 4,4446,50,24,1200,0,,
77,調剤,プレドニン眼軟膏　０．２５％,,83.90,10,0.00,,, ,10,55.14,551,0,10,
78,調剤,プロクトセディル坐薬,,27.90,14,0.00,,2026/ 3,4D954,14,24.86,348,0,14,
79,調剤,プロプラノロール塩酸塩錠１０ｍｇ「ツルハラ」,劇薬,6.60,72,0.00,,2029/12,412,72,5.87,423,0,,
80,調剤,ペリアクチン散１％,劇薬,6.70,4.8,0.00,,, ,4.8,6.60,32,0,4.8,
81,調剤,ボルズィ錠１０ｍｇ,,106.40,100,0.00,,2027/10,024D1,100,106.40,10640,0,,
82,調剤,ボルズィ錠２．５ｍｇ,,47.80,100,0.00,,2027/10,034D1,100,47.80,4780,0,,
83,調剤,ボルズィ錠５ｍｇ,,71.30,100,0.00,,2028/ 6,015X1,100,71.30,7130,0,,
84,調剤,ボルタレンＳＲカプセル３７．５ｍｇ,劇薬,7.60,72,0.00,,2027/ 4,240130,72,6.44,464,0,72,
85,調剤,マイクロファインプラス３２Ｇ×４ｍｍ　３２０１３６,,17.00,238,0.00,,2029/11,4317026,70,0,0,0,,
86,調剤,マイクロファインプラス３２Ｇ×４ｍｍ　３２０１３６,,17.00,238,0.00,,2029/11,4310131,140,0,0,0,,
87,調剤,マイクロファインプラス３２Ｇ×４ｍｍ　３２０１３６,,17.00,238,0.00,,2029/ 4,4128020,28,0,0,0,,
88,調剤,マニジピン塩酸塩錠５ｍｇ「サワイ」,劇薬,10.40,72.5,0.00,,2027/ 1,X24104,72.5,10.40,754,0,37.5,
89,調剤,マプロチリン塩酸塩錠１０ｍｇ「アメル」,,6.10,60,0.00,,2026/10,2310,50,5.30,265,0,200,
90,調剤,マプロチリン塩酸塩錠１０ｍｇ「アメル」,,6.10,60,0.00,,2026/ 9,2308,10,5.30,53,0,10,
91,調剤,メキシチールカプセル５０ｍｇ,劇薬,8.80,100,0.00,,2026/ 9,23I020Y,100,8.80,880,0,,
92,調剤,メコバラミン錠２５０μｇ「日医工」　０．２５ｍｇ,,5.90,306,0.00,,2027/ 2,ZH281E,300,4.83,1449,0,,
93,調剤,メコバラミン錠２５０μｇ「日医工」　０．２５ｍｇ,,5.90,306,0.00,,2026/10,NN280E,6,4.83,29,0,,
94,調剤,メジコン散１０％,劇薬,20.80,2.9,0.00,,2029/ 1,7023,2.9,14.05,41,0,2.9,
95,調剤,メジコン錠１５ｍｇ,,8.60,161,0.00,,2030/ 1,5626,161,4.28,689,0,200,
96,調剤,メチコバール錠２５０μｇ　０．２５ｍｇ,,10.40,31,0.00,,, ,31,6.85,212,0,,
97,調剤,メホビル配合錠ＬＤ「日新」,劇薬,23.60,300,0.00,,2028/ 1,50031A,300,20.05,6015,0,,
98,調剤,ラクツロースシロップ６５％「タカタ」,,6.90,400,0.00,,, ,400,3.85,1540,0,400,
99,調剤,ラコサミド錠１００ｍｇ「ＪＧ」,劇薬,124.50,100,0.00,,2028/ 3,T421TW0,100,124.50,12450,0,,
100,調剤,ラコサミド錠５０ｍｇ「サワイ」,劇薬,76.30,100,0.00,,2028/ 4,125303,100,76.30,7630,0,,
101,調剤,ラコサミド錠５０ｍｇ「サンド」,劇薬,76.30,100,0.00,,2028/ 4,T511T90,100,76.30,7630,0,,
102,調剤,リーダイ配合錠,,5.90,370,0.00,,2029/10,H40381,200,5.90,1180,0,,
103,調剤,リーダイ配合錠,,5.90,370,0.00,,2029/10,H40377,120,5.90,708,0,,
104,調剤,リーダイ配合錠,,5.90,370,0.00,,2029/ 5,H10705,50,5.90,295,0,100,
105,調剤,リザトリプタンＯＤ錠１０ｍｇ「ＶＴＲＳ」,劇薬,71.00,3,0.00,,2026/ 5,HM8230,3,72,216,0,3,
106,調剤,リスペリドンＯＤ錠１ｍｇ「アメル」,劇薬,10.40,200,0.00,,2028/ 3,2506,200,8.32,1664,0,,
107,調剤,リスペリドンＯＤ錠３ｍｇ「タカタ」,劇薬,10.90,426,0.00,2027/ 3/31,2025/11,Z001,426,9.95,4239,0,,
108,調剤,リバスチグミンテープ４．５ｍｇ「久光」,劇薬,71.20,58,0.00,,, ,30,71.14,2134,0,,
109,調剤,リバスチグミンテープ４．５ｍｇ「久光」,劇薬,71.20,58,0.00,,2027/ 6,C707T,28,71.14,1992,0,,
110,調剤,ルリコン軟膏１％,,28.80,20,0.00,,2026/ 2,2303004,20,26.62,532,0,120,
111,調剤,レボノルゲストレル錠１．５ｍｇ「Ｆ」,,0.00,1,0.00,,2026/ 8,BH23A,1,3850,3850,0,1,
112,調剤,レミニールＯＤ錠４ｍｇ,劇薬,51.40,42,0.00,,2026/ 2,0105B,26,47.50,1235,0,47,
113,調剤,レミニールＯＤ錠４ｍｇ,劇薬,51.40,42,0.00,,, ,16,47.50,760,0,16,
114,調剤,ロキソプロフェンＮａゲル１％「ＮＰ」,,2.10,-275,0.00,2026/ 3/31,, ,-275,2.14,-589,0,,
115,調剤,ロキソプロフェンＮａパップ２００ｍｇ「ラクール」　２０×１４ｃｍ,,27.50,84,0.00,,, ,84,27.25,2289,0,119,
116,調剤,ロキソプロフェンナトリウムテープ５０ｍｇ「タイホウ」　７×１０,,12.70,14,0.00,,2027/ 6,4G92,14,12.70,178,0,,
117,調剤,ワーファリン錠０．５ｍｇ,,10.40,55,0.00,,, ,55,7.57,416,0,85,
118,調剤,ワイパックス錠１．０　１ｍｇ,向3,6.10,20,0.00,,, ,20,5.51,110,0,20,
119,調剤,塩化カリウム「フソー」,,1.37,658.3,0.00,,2026/12,4D031B,658.3,1.22,803,0,658,
120,調剤,単シロップ,,0.55,10,0.00,,2027/ 6,3J21,10,0.60,6,0,10,
121,調剤,炭酸水素ナトリウム「ニッコー」,,0.77,500,0.00,,2028/ 6,545605,500,0.77,385,0,,
122,調剤,乳糖水和物「ヨシダ」,,2.46,394.4,0.00,,2026/11,Y23009,394.4,2.24,883,0,500,
